2024-06-10	15:51:12	2f318b1f-2d3a-4053-a343-758ed59ae7a7	/new-page	GET
2024-06-10	15:51:12	745a0d86-ec36-47b3-a4e6-fa61d6ca0022	/css/style.css	GET
2024-06-10	15:51:12	50aa919a-41ab-4d57-90b3-1ef7857cd837	/img/img1.jpg	GET
2024-06-10	15:51:12	905c9766-e737-4898-9278-26d671847fa2	/favicon.ico	GET
2024-06-10	17:35:47	b1a46a66-a6e5-48c8-a189-2c902b047428	GET	undefined	/
2024-06-10	17:35:47	8de70660-facb-4bb9-9043-60b51ceb4890	GET	undefined	/css/style.css
2024-06-10	17:35:50	c8294b25-ed7a-4f7c-b1dd-d9d79c198ac3	GET	undefined	/
2024-06-10	17:35:50	7338e95c-ce32-4c1c-a919-a7f88d95e5a1	GET	undefined	/css/style.css
2024-06-10	17:37:44	5e8ba8cc-3772-4703-9bd5-68686b35213b	GET	undefined	/
2024-06-10	17:37:44	45d8a97d-8660-47a2-9caa-9a47f92786f5	GET	undefined	/css/style.css
2024-06-10	17:40:45	d99b0dd6-6720-4bb4-8636-8ef959158948	GET	undefined	/
2024-06-10	17:40:45	21b12c46-fb1d-41eb-88d2-56fb9768c01f	GET	undefined	/css/style.css
2024-06-10	18:43:58	e9f8302f-76de-4788-b6e9-0c5edce14b68	GET	undefined	/
2024-06-10	18:43:58	c79949a4-4616-4a72-a6ab-e4f878e0d104	GET	undefined	/css/style.css
2024-06-10	18:48:35	c33a396e-df02-4c5c-9cc9-34a03724cde3	GET	undefined	/
2024-06-10	19:00:02	af386132-b344-45ba-acff-07821f709062	GET	undefined	/
2024-06-10	19:00:02	2fcbcdbe-c6c6-42dc-8d95-fa6a28b015a5	GET	undefined	/css/style.css
2024-06-18	17:51:49	f9ee9fc3-4c5c-401b-b6ce-403d852d4da0	GET	undefined	/
2024-06-18	17:51:49	099a8cf4-c9bc-49e0-9612-8eb5e990e997	GET	undefined	/css/style.css
2024-06-18	17:51:49	156635fd-5672-4414-a5f6-7e77846ec909	GET	undefined	/favicon.ico
2024-06-18	17:51:59	d6175069-d473-46e6-a7c0-eed5a786a41f	GET	undefined	/subdir
2024-06-18	17:52:15	4b61ceb4-2d3f-4789-83be-af9a612311c2	GET	undefined	/subdir/index
2024-06-18	17:52:22	ecc74578-9c7f-4803-a1c8-3105f0ef103c	GET	undefined	/subdir/test
2024-06-18	17:58:29	4c1f7c5f-dd1e-452c-8c3b-eb5dc2fda00d	GET	undefined	/
2024-06-18	17:58:29	bb01ec3f-b917-457f-9a81-95928c2415fc	GET	undefined	/css/style.css
2024-06-18	17:58:34	9a875a9e-c575-4362-a800-215f60035a0a	GET	undefined	/new-page
2024-06-18	17:58:34	b3414863-8d48-4386-9851-a1199757a694	GET	undefined	/css/style.css
2024-06-18	17:58:41	a8ef26d3-a16b-469d-a1e7-f95dd776357d	GET	undefined	/new-page
2024-06-18	17:58:41	dcb620fd-4f2d-4139-9a62-ac144142c26d	GET	undefined	/css/style.css
2024-06-18	17:59:59	fa6fccdb-e37e-4525-b2b9-37ae1782035c	GET	undefined	/new-page
2024-06-18	17:59:59	895e576e-f609-4e73-aaad-caf030463a73	GET	undefined	/css/style.css
2024-06-18	18:00:00	28585884-603d-42b3-acb2-a3938ae591fc	GET	undefined	/new-page
2024-06-18	18:00:00	16b0abf3-033c-4ec3-9435-4cb5a53e4f22	GET	undefined	/css/style.css
2024-06-18	18:00:59	bd45f284-af08-4c27-a046-5abe8b663998	GET	undefined	/new-page
2024-06-18	18:00:59	04706392-00ea-41c4-b773-aec536f52580	GET	undefined	/css/style.css
2024-06-18	18:01:01	0c0d82b5-095d-4007-97ba-a3d34f147bed	GET	undefined	/new-page
2024-06-18	18:01:01	d111a660-de35-47f3-bdb4-71ea2d6c721c	GET	undefined	/css/style.css
2024-06-18	18:01:01	ac274463-0fee-44a9-99c1-686b44714fe6	GET	undefined	/new-page
2024-06-18	18:01:01	ad58de62-fec5-436e-a0a5-69e742c43b13	GET	undefined	/css/style.css
2024-06-18	18:01:02	27069bc1-d898-49ed-9103-29c0af6057f2	GET	undefined	/new-page
